..................The Test OutPut Data............

Sn=WS11209011619599,

TestTime=2020/11/09 20:47:49,

SaveTime=2020/11/09 20:47:50,

Voc=45.6200,

Isc=9.2660,

Rsh=1139.5588,

Rs=0.4610,

Pmax=330.7000,

Vm=38.2960,

Im=8.6350,

FF=78.2301,

EFF(cell)=18.6338,

EFF(Module)=16.6101,

Rank=330 WP I2

Current	 Voltage
9.2701	 2.1288

9.2703	 2.1357

9.2705	 2.1426

9.2707	 2.1495

9.2709	 2.1564

9.2711	 2.1633

9.2713	 2.1702

9.2715	 2.1771

9.2717	 2.1840

9.2719	 2.1909

9.2721	 2.1978

9.2628	 2.2027

9.2629	 2.2088

9.2630	 2.2149

9.2631	 2.2211

9.2632	 2.2272

9.2634	 2.2333

9.2635	 2.2395

9.2636	 2.2456

9.2637	 2.2517

9.2638	 2.2579

9.2639	 2.2640

9.2640	 2.2701

9.2642	 2.2763

9.2643	 2.2824

9.2644	 2.2885

9.2645	 2.2947

9.2646	 2.3008

9.2647	 2.3070

9.2649	 2.3131

9.2650	 2.3192

9.2651	 2.3254

9.2652	 2.3315

9.2653	 2.3376

9.2654	 2.3438

9.2655	 2.3499

9.2657	 2.3560

9.2658	 2.3622

9.2659	 2.3683

9.2660	 2.3744

9.2661	 2.3806

9.2662	 2.3867

9.2664	 2.3928

9.2665	 2.3990

9.2666	 2.4051

9.2667	 2.4112

9.2668	 2.4174

9.2669	 2.4235

9.2670	 2.4297

9.2672	 2.4358

9.2673	 2.4419

9.2670	 2.4696

9.2672	 2.4761

9.2674	 2.4827

9.2676	 2.4892

9.2679	 2.4958

9.2681	 2.5023

9.2683	 2.5089

9.2685	 2.5154

9.2687	 2.5220

9.2689	 2.5285

9.2691	 2.5351

9.2693	 2.5416

9.2696	 2.5482

9.2698	 2.5548

9.2700	 2.5613

9.2702	 2.5679

9.2704	 2.5744

9.2706	 2.5810

9.2708	 2.5875

9.2710	 2.5941

9.2713	 2.6006

9.2715	 2.6072

9.2717	 2.6137

9.2719	 2.6203

9.2721	 2.6268

9.2723	 2.6334

9.2725	 2.6400

9.2728	 2.6465

9.2730	 2.6531

9.2732	 2.6596

9.2734	 2.6662

9.2736	 2.6727

9.2738	 2.6793

9.2740	 2.6858

9.2743	 2.6924

9.2745	 2.6989

9.2747	 2.7055

9.2749	 2.7120

9.2751	 2.7186

9.2753	 2.7251

9.2599	 2.7272

9.2601	 2.7335

9.2603	 2.7398

9.2605	 2.7461

9.2606	 2.7525

9.2608	 2.7588

9.2610	 2.7651

9.2612	 2.7714

9.2613	 2.7778

9.2615	 2.7841

9.2617	 2.7904

9.2619	 2.7967

9.2620	 2.8030

9.2622	 2.8094

9.2624	 2.8157

9.2626	 2.8220

9.2627	 2.8283

9.2629	 2.8347

9.2631	 2.8410

9.2633	 2.8473

9.2634	 2.8536

9.2636	 2.8600

9.2638	 2.8663

9.2640	 2.8726

9.2641	 2.8789

9.2643	 2.8853

9.2645	 2.8916

9.2647	 2.8979

9.2648	 2.9042

9.2650	 2.9105

9.2652	 2.9169

9.2654	 2.9232

9.2655	 2.9295

9.2657	 2.9358

9.2659	 2.9422

9.2661	 2.9485

9.2662	 2.9548

9.2664	 2.9611

9.2666	 2.9675

9.2668	 2.9738

9.2637	 2.9871

9.2639	 2.9938

9.2640	 3.0004

9.2642	 3.0071

9.2644	 3.0137

9.2646	 3.0204

9.2647	 3.0270

9.2649	 3.0337

9.2651	 3.0403

9.2653	 3.0470

9.2654	 3.0536

9.2656	 3.0603

9.2658	 3.0669

9.2660	 3.0736

9.2661	 3.0802

9.2663	 3.0869

9.2665	 3.0935

9.2667	 3.1002

9.2668	 3.1068

9.2670	 3.1135

9.2672	 3.1201

9.2674	 3.1268

9.2676	 3.1334

9.2677	 3.1401

9.2679	 3.1467

9.2681	 3.1534

9.2683	 3.1600

9.2684	 3.1667

9.2686	 3.1733

9.2688	 3.1800

9.2690	 3.1866

9.2691	 3.1933

9.2693	 3.1999

9.2695	 3.2066

9.2697	 3.2132

9.2698	 3.2199

9.2700	 3.2265

9.2702	 3.2332

9.2704	 3.2398

9.2705	 3.2465

9.2657	 3.2484

9.2660	 3.2557

9.2663	 3.2630

9.2666	 3.2703

9.2669	 3.2776

9.2672	 3.2849

9.2675	 3.2922

9.2678	 3.2995

9.2681	 3.3068

9.2684	 3.3141

9.2687	 3.3214

9.2690	 3.3287

9.2693	 3.3360

9.2696	 3.3433

9.2699	 3.3506

9.2702	 3.3579

9.2705	 3.3652

9.2708	 3.3725

9.2710	 3.3798

9.2713	 3.3871

9.2716	 3.3944

9.2719	 3.4017

9.2722	 3.4090

9.2725	 3.4163

9.2728	 3.4236

9.2731	 3.4309

9.2734	 3.4382

9.2737	 3.4455

9.2740	 3.4528

9.2743	 3.4601

9.2746	 3.4674

9.2749	 3.4747

9.2752	 3.4820

9.2755	 3.4893

9.2758	 3.4966

9.2761	 3.5039

9.2764	 3.5112

9.2767	 3.5185

9.2770	 3.5258

9.2628	 3.5278

9.2629	 3.5344

9.2630	 3.5411

9.2630	 3.5478

9.2631	 3.5544

9.2632	 3.5611

9.2633	 3.5678

9.2633	 3.5745

9.2634	 3.5811

9.2635	 3.5878

9.2636	 3.5945

9.2636	 3.6011

9.2637	 3.6078

9.2638	 3.6145

9.2639	 3.6211

9.2639	 3.6278

9.2640	 3.6345

9.2641	 3.6412

9.2642	 3.6478

9.2642	 3.6545

9.2643	 3.6612

9.2644	 3.6678

9.2644	 3.6745

9.2645	 3.6812

9.2646	 3.6878

9.2647	 3.6945

9.2647	 3.7012

9.2648	 3.7078

9.2649	 3.7145

9.2650	 3.7212

9.2650	 3.7279

9.2651	 3.7345

9.2652	 3.7412

9.2653	 3.7479

9.2653	 3.7545

9.2654	 3.7612

9.2655	 3.7679

9.2656	 3.7745

9.2656	 3.7812

9.2631	 3.7877

9.2629	 3.7943

9.2627	 3.8009

9.2625	 3.8075

9.2623	 3.8141

9.2621	 3.8207

9.2619	 3.8273

9.2617	 3.8339

9.2615	 3.8405

9.2613	 3.8471

9.2611	 3.8537

9.2609	 3.8603

9.2607	 3.8669

9.2605	 3.8735

9.2603	 3.8800

9.2601	 3.8866

9.2599	 3.8932

9.2598	 3.8998

9.2596	 3.9064

9.2594	 3.9130

9.2592	 3.9196

9.2590	 3.9262

9.2588	 3.9328

9.2586	 3.9394

9.2584	 3.9460

9.2582	 3.9526

9.2580	 3.9592

9.2578	 3.9658

9.2576	 3.9724

9.2574	 3.9790

9.2572	 3.9856

9.2570	 3.9922

9.2568	 3.9988

9.2566	 4.0054

9.2564	 4.0120

9.2562	 4.0185

9.2560	 4.0251

9.2558	 4.0317

9.2556	 4.0383

9.2555	 4.0449

9.2529	 4.0490

9.2533	 4.0555

9.2537	 4.0621

9.2541	 4.0686

9.2545	 4.0751

9.2549	 4.0816

9.2553	 4.0881

9.2557	 4.0946

9.2560	 4.1012

9.2564	 4.1077

9.2568	 4.1142

9.2572	 4.1207

9.2576	 4.1272

9.2580	 4.1337

9.2584	 4.1403

9.2588	 4.1468

9.2592	 4.1533

9.2596	 4.1598

9.2600	 4.1663

9.2604	 4.1728

9.2608	 4.1794

9.2611	 4.1859

9.2615	 4.1924

9.2619	 4.1989

9.2623	 4.2054

9.2627	 4.2119

9.2631	 4.2184

9.2635	 4.2250

9.2639	 4.2315

9.2643	 4.2380

9.2647	 4.2445

9.2651	 4.2510

9.2655	 4.2575

9.2659	 4.2641

9.2663	 4.2706

9.2666	 4.2771

9.2670	 4.2836

9.2674	 4.2901

9.2678	 4.2966

9.2682	 4.3032

9.2589	 4.3068

9.2587	 4.3135

9.2585	 4.3201

9.2583	 4.3267

9.2581	 4.3333

9.2579	 4.3400

9.2577	 4.3466

9.2575	 4.3532

9.2574	 4.3599

9.2572	 4.3665

9.2570	 4.3731

9.2568	 4.3797

9.2566	 4.3864

9.2564	 4.3930

9.2562	 4.3996

9.2560	 4.4062

9.2558	 4.4129

9.2557	 4.4195

9.2555	 4.4261

9.2553	 4.4328

9.2551	 4.4394

9.2549	 4.4460

9.2547	 4.4526

9.2545	 4.4593

9.2543	 4.4659

9.2541	 4.4725

9.2540	 4.4792

9.2538	 4.4858

9.2536	 4.4924

9.2534	 4.4990

9.2532	 4.5057

9.2530	 4.5123

9.2528	 4.5189

9.2526	 4.5256

9.2524	 4.5322

9.2523	 4.5388

9.2521	 4.5454

9.2519	 4.5521

9.2517	 4.5587

9.2515	 4.5653

9.2620	 4.5676

9.2613	 4.5745

9.2605	 4.5815

9.2597	 4.5884

9.2590	 4.5953

9.2582	 4.6022

9.2575	 4.6091

9.2567	 4.6161

9.2559	 4.6230

9.2552	 4.6299

9.2544	 4.6368

9.2536	 4.6438

9.2529	 4.6507

9.2521	 4.6576

9.2513	 4.6645

9.2506	 4.6714

9.2498	 4.6784

9.2491	 4.6853

9.2483	 4.6922

9.2475	 4.6991

9.2468	 4.7061

9.2460	 4.7130

9.2453	 4.7199

9.2445	 4.7268

9.2437	 4.7337

9.2430	 4.7407

9.2422	 4.7476

9.2414	 4.7545

9.2407	 4.7614

9.2399	 4.7684

9.2392	 4.7753

9.2384	 4.7822

9.2376	 4.7891

9.2369	 4.7960

9.2361	 4.8030

9.2354	 4.8099

9.2346	 4.8168

9.2338	 4.8237

9.2331	 4.8307

9.2323	 4.8376

9.2563	 4.8425

9.2566	 4.8493

9.2570	 4.8562

9.2573	 4.8630

9.2576	 4.8699

9.2580	 4.8767

9.2583	 4.8836

9.2586	 4.8904

9.2589	 4.8973

9.2593	 4.9042

9.2596	 4.9110

9.2599	 4.9179

9.2603	 4.9247

9.2606	 4.9316

9.2609	 4.9384

9.2612	 4.9453

9.2616	 4.9521

9.2619	 4.9590

9.2622	 4.9658

9.2626	 4.9727

9.2629	 4.9796

9.2632	 4.9864

9.2636	 4.9933

9.2639	 5.0001

9.2642	 5.0070

9.2645	 5.0138

9.2649	 5.0207

9.2652	 5.0275

9.2655	 5.0344

9.2659	 5.0412

9.2662	 5.0481

9.2665	 5.0550

9.2668	 5.0618

9.2672	 5.0687

9.2675	 5.0755

9.2678	 5.0824

9.2682	 5.0892

9.2685	 5.0961

9.2501	 5.1039

9.2502	 5.1108

9.2503	 5.1176

9.2505	 5.1245

9.2506	 5.1313

9.2508	 5.1382

9.2509	 5.1450

9.2510	 5.1519

9.2512	 5.1587

9.2513	 5.1656

9.2514	 5.1724

9.2516	 5.1793

9.2517	 5.1861

9.2518	 5.1930

9.2520	 5.1998

9.2521	 5.2067

9.2522	 5.2135

9.2524	 5.2204

9.2525	 5.2272

9.2526	 5.2341

9.2528	 5.2409

9.2529	 5.2478

9.2531	 5.2546

9.2532	 5.2615

9.2533	 5.2683

9.2535	 5.2752

9.2536	 5.2820

9.2537	 5.2889

9.2539	 5.2957

9.2540	 5.3026

9.2541	 5.3094

9.2543	 5.3162

9.2544	 5.3231

9.2545	 5.3299

9.2547	 5.3368

9.2548	 5.3436

9.2549	 5.3505

9.2551	 5.3573

9.2552	 5.3642

9.2554	 5.3710

9.2535	 5.3759

9.2537	 5.3824

9.2539	 5.3888

9.2541	 5.3953

9.2543	 5.4018

9.2545	 5.4083

9.2547	 5.4148

9.2549	 5.4212

9.2551	 5.4277

9.2553	 5.4342

9.2556	 5.4407

9.2558	 5.4472

9.2560	 5.4536

9.2562	 5.4601

9.2564	 5.4666

9.2566	 5.4731

9.2568	 5.4795

9.2570	 5.4860

9.2572	 5.4925

9.2574	 5.4990

9.2576	 5.5055

9.2578	 5.5119

9.2580	 5.5184

9.2582	 5.5249

9.2585	 5.5314

9.2587	 5.5379

9.2589	 5.5443

9.2591	 5.5508

9.2593	 5.5573

9.2595	 5.5638

9.2597	 5.5702

9.2599	 5.5767

9.2601	 5.5832

9.2603	 5.5897

9.2605	 5.5962

9.2607	 5.6026

9.2609	 5.6091

9.2611	 5.6156

9.2613	 5.6221

9.2290	 5.6284

9.2297	 5.6356

9.2305	 5.6428

9.2313	 5.6500

9.2320	 5.6572

9.2328	 5.6643

